epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,3146.25,0.70755,0.43631,0.01399,0.87129,0.87664,0.91356,0.76008,0.65699,0.29856,0.01472,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,3211.07,0.70866,0.42211,0.01416,0.91367,0.84745,0.90826,0.74453,0.65808,0.28208,0.01471,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,3281.58,0.70872,0.42395,0.01413,0.92103,0.81997,0.92327,0.76477,0.66585,0.28583,0.01497,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,3344.38,0.69948,0.42181,0.01394,0.85473,0.87088,0.91237,0.76138,0.65394,0.29581,0.01433,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,3407.67,0.70453,0.43644,0.01393,0.90635,0.86024,0.91156,0.75372,0.65732,0.28677,0.01468,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,3469.48,0.69382,0.40437,0.01355,0.92235,0.86162,0.9256,0.76882,0.65208,0.29369,0.01455,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,3532.28,0.69357,0.42098,0.01364,0.83787,0.84737,0.90642,0.74381,0.64912,0.29949,0.01416,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,3593.96,0.69044,0.42475,0.01361,0.89361,0.84378,0.9052,0.74445,0.67095,0.30179,0.01505,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,3657.07,0.67979,0.40853,0.01326,0.84868,0.87803,0.9231,0.77148,0.64184,0.30104,0.01436,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,3719.88,0.68079,0.40643,0.01336,0.89985,0.85559,0.92108,0.7622,0.6361,0.2807,0.01401,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,3782.53,0.67389,0.41308,0.01327,0.87586,0.88515,0.92852,0.78042,0.63704,0.29118,0.01438,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,3845.35,0.67444,0.39358,0.01335,0.91821,0.82942,0.92759,0.77842,0.63714,0.28706,0.01408,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,3907.3,0.65895,0.38117,0.01294,0.9105,0.86316,0.91352,0.7629,0.62446,0.27407,0.01374,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,3970.2,0.66238,0.38264,0.01283,0.90255,0.85189,0.92374,0.77111,0.63343,0.28316,0.01407,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,4033.13,0.66431,0.37548,0.01317,0.87593,0.88183,0.92745,0.77949,0.63364,0.27355,0.014,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,4094.86,0.66479,0.37847,0.01299,0.90398,0.84547,0.91222,0.7615,0.62969,0.26801,0.01398,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,4157.93,0.66103,0.38815,0.01284,0.92045,0.82894,0.91651,0.77013,0.63118,0.28012,0.01407,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,4219.98,0.65751,0.36644,0.013,0.87127,0.89184,0.91913,0.76829,0.62944,0.27414,0.0139,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,4282.62,0.65321,0.37355,0.01291,0.89146,0.86045,0.91904,0.76064,0.64164,0.27918,0.01428,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,4345.02,0.65208,0.37675,0.01302,0.92137,0.85996,0.91372,0.75746,0.6459,0.28519,0.01459,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,4407.42,0.64345,0.37648,0.0125,0.89043,0.87617,0.92526,0.77502,0.64537,0.26822,0.01474,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,4470.7,0.6465,0.37684,0.01249,0.90939,0.85199,0.92932,0.77472,0.6349,0.27319,0.01437,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,4532.88,0.63963,0.36718,0.01234,0.88638,0.86905,0.92837,0.77715,0.62078,0.26496,0.01362,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,4595.52,0.63665,0.36719,0.01241,0.94645,0.83357,0.93461,0.78502,0.62371,0.25994,0.01398,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,4657.88,0.62496,0.35949,0.01217,0.92117,0.85178,0.9191,0.76665,0.62114,0.26574,0.01357,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,4720.75,0.62404,0.35453,0.01223,0.92617,0.84277,0.91471,0.77028,0.61997,0.27996,0.01369,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,4783.37,0.62484,0.35023,0.01201,0.90103,0.87046,0.91492,0.7696,0.64157,0.25736,0.01477,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,4845.5,0.62158,0.34703,0.01203,0.89498,0.87781,0.9115,0.77174,0.62119,0.25394,0.01382,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,4908.28,0.61381,0.33676,0.01198,0.92735,0.83822,0.91412,0.76389,0.62499,0.2628,0.01362,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,4970.13,0.62273,0.34014,0.01199,0.89693,0.87395,0.93267,0.78365,0.61126,0.25249,0.0134,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,5032.94,0.61057,0.33311,0.01185,0.8567,0.89014,0.9236,0.77663,0.60842,0.25268,0.01343,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,5095.14,0.61412,0.34096,0.01192,0.91495,0.87066,0.9326,0.78841,0.60724,0.25519,0.01325,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,5157.71,0.60661,0.33336,0.01182,0.88244,0.88466,0.92461,0.78419,0.61126,0.24486,0.01353,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,5221.06,0.60123,0.33213,0.01169,0.94598,0.87962,0.92815,0.78335,0.61206,0.24719,0.01359,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,5282.8,0.60477,0.318,0.01178,0.93895,0.8746,0.93467,0.7899,0.60645,0.25398,0.01329,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,5350.13,0.59789,0.32193,0.01164,0.93801,0.87296,0.92555,0.78306,0.60651,0.25552,0.01327,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,5414.04,0.60628,0.33923,0.01179,0.90251,0.89389,0.9276,0.78494,0.60705,0.25132,0.01343,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,5476.78,0.59378,0.32614,0.01151,0.93458,0.88368,0.92873,0.78383,0.60933,0.24951,0.01355,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,5539.96,0.58916,0.32288,0.01152,0.93671,0.88027,0.93806,0.79453,0.60595,0.24589,0.01343,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,5602.34,0.57998,0.31526,0.01121,0.90771,0.89018,0.92641,0.78205,0.60233,0.24197,0.0132,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,5665.26,0.56843,0.3072,0.01103,0.90714,0.8972,0.93215,0.78417,0.59795,0.24118,0.01303,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,5727.37,0.5739,0.32033,0.01095,0.94452,0.86986,0.92745,0.77702,0.60454,0.25625,0.01337,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,5789.63,0.57515,0.3197,0.01098,0.93691,0.88413,0.92755,0.77708,0.60775,0.26105,0.01342,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,5852.39,0.57094,0.29994,0.01095,0.94207,0.88328,0.92578,0.77747,0.61226,0.2538,0.01359,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,5914.61,0.55865,0.30109,0.01073,0.9448,0.88186,0.92575,0.78116,0.60141,0.25083,0.01315,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,5979.15,0.56657,0.31315,0.01087,0.96116,0.85667,0.92678,0.78382,0.60253,0.24818,0.01314,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,6041.42,0.56093,0.30002,0.01074,0.94203,0.89072,0.92945,0.78709,0.60278,0.23876,0.01323,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,6106.25,0.56406,0.29611,0.0108,0.93419,0.88337,0.92339,0.7791,0.60737,0.25249,0.01342,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,6169.03,0.56224,0.2981,0.01058,0.95294,0.85656,0.92173,0.77742,0.60517,0.25146,0.0134,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,6232.82,0.54941,0.2985,0.01044,0.95487,0.87129,0.9265,0.77763,0.60334,0.24157,0.01321,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,6295.65,0.54592,0.28655,0.01037,0.95761,0.86996,0.92807,0.78284,0.5987,0.23658,0.01308,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,6357.67,0.54791,0.2883,0.01039,0.94907,0.87341,0.92695,0.78269,0.59665,0.2345,0.01305,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,6420.27,0.53999,0.28682,0.01018,0.93817,0.87678,0.92722,0.78571,0.59821,0.23311,0.01304,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,6482.4,0.54393,0.2775,0.01039,0.9523,0.8648,0.92989,0.78934,0.59412,0.23668,0.01297,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,6544.32,0.5329,0.28621,0.01,0.9462,0.88337,0.94192,0.79738,0.59304,0.23778,0.01291,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,6607.17,0.53269,0.27968,0.00999,0.95025,0.87129,0.94002,0.79395,0.59314,0.24627,0.01286,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,6669.01,0.53386,0.27033,0.01008,0.96091,0.86504,0.94503,0.79552,0.59746,0.24595,0.01297,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,6731.92,0.51616,0.27049,0.00982,0.95811,0.86433,0.94668,0.79708,0.60115,0.23805,0.0132,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,6793.9,0.51875,0.2754,0.00979,0.954,0.87307,0.9333,0.78791,0.60362,0.24021,0.01324,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,6856.75,0.50889,0.26726,0.00962,0.90449,0.89445,0.93313,0.78947,0.6015,0.24243,0.01316,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,6919.74,0.51285,0.2707,0.00974,0.95769,0.87496,0.93328,0.78757,0.60097,0.24211,0.01316,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,6981.63,0.52792,0.26654,0.00988,0.9612,0.88003,0.93875,0.79464,0.59914,0.23043,0.01312,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,7044.33,0.51248,0.2589,0.00964,0.96312,0.87368,0.93087,0.78825,0.59641,0.23546,0.01306,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,7106.26,0.51358,0.25557,0.00947,0.95892,0.88335,0.93103,0.78771,0.59132,0.23603,0.01289,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,7169.31,0.49862,0.244,0.00943,0.95886,0.8792,0.93239,0.79,0.59256,0.23394,0.01296,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,7232.24,0.49354,0.25033,0.0093,0.94746,0.88562,0.94375,0.79959,0.59038,0.22954,0.01291,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,7295.57,0.48764,0.24329,0.00923,0.96256,0.87449,0.94493,0.79942,0.58783,0.23637,0.0128,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,7358.55,0.49068,0.24634,0.00914,0.94914,0.87905,0.9435,0.7983,0.58856,0.23132,0.01284,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,7420.53,0.48892,0.25083,0.00919,0.9397,0.88886,0.94273,0.79792,0.58881,0.23063,0.01287,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,7483.04,0.48493,0.25194,0.00906,0.94395,0.88574,0.94335,0.79807,0.59243,0.23335,0.01291,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,7545.12,0.48784,0.24697,0.00906,0.9172,0.89784,0.93515,0.79068,0.59171,0.23508,0.0129,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,7607.74,0.47634,0.23834,0.00888,0.95911,0.87139,0.93321,0.78815,0.59073,0.22986,0.01288,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,7670.58,0.47403,0.23366,0.0088,0.95163,0.87474,0.93515,0.79116,0.59141,0.23739,0.01292,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,7732.5,0.46704,0.23088,0.00876,0.95457,0.8689,0.93418,0.79175,0.59289,0.23939,0.01297,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
