epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,1204.8,0.75143,0.57813,0.01508,0.86072,0.82853,0.88194,0.6962,0.74243,0.39218,0.01638,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,1231.73,0.74817,0.56286,0.0149,0.876,0.81835,0.87342,0.68492,0.72067,0.37255,0.01519,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,1258.6,0.75241,0.57197,0.0149,0.8728,0.8237,0.8909,0.69758,0.71623,0.38875,0.01553,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,1285.12,0.73676,0.55179,0.01448,0.90479,0.81773,0.8916,0.69174,0.72386,0.39456,0.01523,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,1311.81,0.73951,0.55162,0.01464,0.93345,0.81039,0.89245,0.70347,0.69925,0.36776,0.01486,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,1338.79,0.72886,0.53304,0.01433,0.91195,0.81916,0.90977,0.73701,0.69922,0.35599,0.0154,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,1365.67,0.72519,0.51699,0.01441,0.85822,0.87698,0.89168,0.7086,0.7041,0.35223,0.01505,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,1392.55,0.72027,0.55072,0.01434,0.84703,0.86975,0.90645,0.72398,0.68889,0.36269,0.01474,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,1419.13,0.72236,0.52107,0.01425,0.86046,0.8445,0.9081,0.72144,0.70483,0.36215,0.01483,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,1446.65,0.72291,0.52924,0.01421,0.9222,0.81262,0.90066,0.712,0.69274,0.34793,0.01452,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
